D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
D,i/p button[+],"im a more happier person after discovering the i/p button ! 
D,dvd player[+],"but  if you 're looking for my opinion of the apex dvd player  i love it ! 
D,dvd player[+][p],"it practically plays almost everything you give it" 
D,player[+]sound[-],"i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor" 
D,price[+],"for the price it is a well spent investment ! 
D,dvd player[+][p],"this is by far the nicest one  in so many ways" 
D,look[+]panel button layout[+]feature[+],"it 's very sleek looking with a very good front panel button layout  and it has a great feature set" 
D,forward[+] rewind[+],"its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had" 
D,video format[+],"it plays alternate video formats ( vcds  svcds  cvds ) very well" 
D,price[+],"and amazon.com has it for such a great price -- how can you go wrong ? 
D,play[+] dvd-r[+],"what got me to buy was the reviewer that said it would play dvd-rs fill of files ( e.  mp3s )" 
D,dvd-r[+][p],"it sure does ! 
D,dvd-r[+][p],"that 's a rare and valuable feature" 
D,audio output[+],"another nice thing is that the unit has both optical and coax digital audio outputs  though the latter was not mentioned in the literature i 'd scanned before buying" 
D,forward[+],"at double-speed ( 2x forward speed )  it still plays mp3s with sound -- they are pitch-corrected and smooth  but twice as fast ! 
D,remote control[-] mp3 filename[-],"weaknesses are minor , the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x  3x  4x  1/2x  etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ]" 
D,finish[+],"update , the finish is more " mirror " than silver -- and i like it ! 
D,play[-] disney movie[-],"many of our disney movies do n't play on this dvd player" 
D,dual-layer dvd[-],"player has a problem with dual-layer dvd 's such as alias season 1 and season 2" 
D,player[+] look[+],"player works and looks great - if you can get the dvd 's to play" 
D,player[-],"i know the saying is " you get what you pay for " but at this stage of game dvd players must have better quality than this - there is no excuse" 
D,apex[-],"will never purchase apex again" 
D,customer service[-] technical support[-],"customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them" 
D,case[+],"for the first few weeks  this player was everything i expected it to be  an affordable multi-format dvd player with a stylish slim case as advertised" 
D,dvd[-] read[-] play[-],"then my dvds would stop playing in the middle  or not even be read at all" 
D,cd[-],"new cds almost always began skipping after a few plays" 
D,player[-],"i thought it was just the player  but then i started checking the discs to find that the apex 2600 is actually ruining my media" 
D,player[-],"this player is not worth any price and i recommend that you do n't purchase it" 
D,support[-][u],"apex does n't answer the phone" 
D,customer service[-],"no way to contact their customer service" 
D,quality[-],"very bad quality" 
D,player[+],"i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites" 
D,player[+],"i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him" 
D,player[+][p],"have used it frequently and have had no problems" 
D,player[+][p],"i liked this one enough to buy another" 
D,apex[+],"my dad also has an apex tv and it was another great value for the money" 
D,picture quality[+]feature[+],"great quality picture and features" 
D,[t] 2 out of three ai n't good" 
D,player[-][p],"they play just about everything  but # 2 and # 3 died very shortly after getting them" 
D,player[-],"nice machines  but i consider their quality pretty low now" 
D,player[-][u],"this item broke just two weeks after i gave it to my kids for christmas" 
D,door[-],"the door would not close" 
D,customer service[-],"i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept" 
D,look[+] feature[+],"it looks great - and is loaded with features" 
D,player[-][p],"unfortunately it turns out to be the " disposable " type" 
D,player[-][u],"have had problems since the first day 
D,play[-] dvd[-],"- not playing some dvds and then finally after less than 60 days  it just would not recognize anything i pop in it" 
D,apex[+],"the apex 2600 has been a steady performer for me" 
D,player[+][p],"i bought mine in december of 2003  and have had no real problems with it" 
D,heat[-][u],"it does tend to run quite hot and should be given lots of room for air circulation" 
D,smell[-],"it did also seem to have a strong " new electronics " smell for some time" 
D,freezing[-],"the only thing i did experience was a problem of the player freezing while playing  which i was able to clear by opening it up and blowing it out with " canned air" " 
D,player[+],"( he had owned two apex dvd players  and was pleased with both of them" ) 
D,jpeg slideshow[+]mpeg1[+],"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist  and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting" 
D,remote[-],"the remote is okay  but i am not a fan of remotes with tiny buttons" 
D,button[-],"i especially like the more commonly used buttons  such as play  pause  and stop  to be larger and conveniently placed" 
D,zoom mode[-],"i also did n't like the way it displayed information way down into the screen when you are in zoom mode" 
D,zoom[-],"the zoom goes up and down in magnification  which is nice  but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings" 
D,onscreen display[-],"having spent considerable time with professional video gear  i find onscreen displays annoying" 
D,player[+][p],"while i would like to give it 3.5 stars instead of 4  i gave it a 4 because it has run well for me during the time i have owned it" 
D,picture[-] player[-][p],"it is more than 90 days and it does not show the picture no matter what i do" 
D,player[-],"i have had this player for 3 months and have been able to see a total of 6 dvd 's  after the frustration and aggrivation of getting the player to do it 's job" 
D,customer service[-],"i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked" 
D,play[-] disc[-],"wo n't play a lot of discs" 
D,play[-],"some movies it played yesterday  it wo n't play today" 
D,play[-],"it wo n't play 80 % of my movies  which are all store boughten" 
D,tech support[-],"tech support from apex is literally - nonexistent" 
D,player[-][u],"i bought 2 of this model for christmas presents and neither one of them work ! 
D,dvd player[-],"it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working" 
D,dvd player[-],"the dvd player does not work properly" 
D,player[-],"the player usually plays dvd 's  but has occasional problems such as , 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd" 
D,player[-][p],"this has happened with several different dvd 's and occasionally if we keep trying something  it will work when it did not work one time before" 
D,customer support[-],"after we discovered the problems  we tried to contact apex ( fkor 3 months )  but we never got in touch with them.the customer support telephone number is always busy  and they do not answer their web customer support" 
D,[t] ok if you have a 2nd dvd player" 
D,player[+][p],"nothing has broken on it  and it plays all the dvds i have" 
D,play[-] dvd[-],"unfortunately it can 't play all of the dvd" 
D,dvd[-],"on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd" 
D,player[-],"unfortunately i bought a player because the ps2 could n't play all my dvds  and now the player can 't play everything" 
D,work[+],"we tried it out christmas night and it worked great" 
D,jpeg[+],"even viewed cds full of jpgs" 
D,picture[-] player[-][p],"but when we went to use it again  there was sound but no picture" 
D,apex[-],"i hate apex but love amazon  and i tell everyone" 
D,player[-][p],"who knows how many uses you 'll get out of it before it craps out  but it probably will" 
D,remote[-],"we 've purchased 3 universal remotes so far-all claiming to work " apex " dvd players and none worked" 
D,dvd[-] play[-],"( on here of course ) also  a couple dvd 's would n't play and they were new ones ! 
D,remote[-],"i had to return the remote on this product because it appeared to be defective" 
D,customer service[-],"the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line" 
D,apex[-],"i would not be inclined to purchase an apex product again" 
D,door[-],"door broke after a month" 
D,unit[-],"unit took forever since the begiining to recognize and play discs" 
D,player[-][p],"3 months of use and it no longer recognizes anything" 
D,player[+],"well  it was nice while it lasted" 
D,player[-],"after @ 3 months  it stoppped playing higher number scenes on dvds" 
D,player[-][u],"as an engineer  i am embarrassed for the engineering profession when such crap is released for sale" 
D,player[-][p],"only used for 3 month before it 's down ! 
D,picture[-],"it sends discoutinous signals to tv  so the tv has the pictures for one moment and has only the white noise for the other moment" 
D,color[-],"the other thing i do n't like about this 2600 is that it makes the color look over saturated" 
D,unit[-][u],"the entire unit was poorly crafted" 
D,screw tip[-],"there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board" 
D,dvd[-] play[-],"after hooking the thing up  i found that it would only played less than 50 % of the dvds i put in it" 
D,player[-],"the dvd player just would't recognize them" 
D,no disc[-],"it would spin  read  spin some more and then show on the display that there was no disc" 
D,[t] apex ad2600" 
D,format[+][u]progressive scan[+],"this dvd player plays raw mpeg2 and mpeg1 videos  jpeg  wma  cdr / cdrw / dvdr / dvdrw  and of course plays dvd movies from uk. i love the aiff  progressive scan feature" 
D,player[-],"i have not even used my new dvd player and already i am disapointed ! 
D,customer service[-],"they will not respond to my emails ( promised turnaround time is 24 hours ) and the phone line is constantly busy" 
D,feature[+],"because of it 's hidden features ( no macrovision  non-regional ) i keep this baby around to watch non-american region dvd 's" 
D,play[+] different file[+],"the cool thing about the ad-600 it plays alot of different file like mp3  wma cds  jpeg and kodak picture cds  dvd 's  dvd - / + r 's" 
D,play[+] mpeg[+],"it 's not a listed feature but  the one thing that sold the unit is that it plays mpeg video" 
D,mpeg[+][p],"i find this to be a great feature" 
D,play[+][p],"i 've tried playing all of these discs and they all play great" 
D,feature[+],"for the money apex machines have good features" 
D,design[+],"it 's low profile  space saving design looks nice" 
D,player[+][u],"i find the apex ad-600 to be a great buy" 
D,player[-][p],"now i know why - they are pieces of junk" 
D,no disc[-] screen[-][u],"less than a month later the screen freezes and eventually shows " no disc" " 
D,service[-],"same story as everybody else when trying to get service from apex - nothing" 
D,format[+],"i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd  but it also was able to play vob files which i created with smart ripper" 
D,aff[+],"the aff feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal" 
D,design[+],"loved the slim design" 
D,[t] black and white only after 1 month of use" 
D,color signal[-],"this unit was working fine for the 1st month and a half and then the color signal disappeared" 
D,customer service[-],"apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy" 
D,[t] most bang for the buck. i recieved my 2600 4 days ago and feel that this may be the best $ 50 i have ever spent" 
D,audio[+],"audio is excellent" 
D,player[+] format[+],"i am very pleased with the apex ad2600.it plays just about anything you put in the drawer" 
D,player[+][p],"but  it seems to work so well now  that i do n't anticipate any problems with it" 
D,player[+][u],"simple to use and hook up" 
D,progressive scan[+]remote[+],"the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used" 
D,player[-],"this dvd play is basicly junk" 
D,play[-][p],"it wo n't play all of my movies" 
D,customer service[-],"i tried called apex cust service  no help" 
D,player[-][p],"mine was 2 weeks old and i chucked it in the trash  where it belongs" 
D,player[-][p],"each of the 4 lasted less than six months" 
D,player[+],"this is the best dvd player i 've purchased" 
D,player[+],"this player has worked flawlessly for me and at this price  you can 't go wrong" 
D,[t] apex ad2600 known capadabilty problem" 
D,play[-] dvd[-] no disc[-],"i have sent my ad2600 back to apex because it wo n't play certain disney and other dvd movies ( no disc message )" 
D,dvd player[+],"well  this apex dvd player turned out great ! 
D,media[+][u],"it plays basically every media i 've tested so far  even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old $ 200 sharp player ! 
D,user interface[+],"i have to say i 'm also pretty impressed by the user interface for playing jpeg  mp3 and mpeg files stored on cd-rs / dvds" 
D,player[+],"i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player" 
D,look[+][u]panel[+],"and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey ! 
D,remote control[-],"one bad thing though  i find the remote-control a bit flimsy and i predict it will most probably ' die ' before the player does" 
D,shipping[+],"finally  amazon 's free shipping is really getting good  it took only 3 working days for the player to reach me ! 
D,player[-],"i purchased two of these players for christmas gifts  and both were bad" 
D,player[-],"the first one would n't work from the start" 
D,player[-],"the second lasted about two weeks before the video went out ! 
D,on-line support[-][u],"i have tried several times to contact apex digital through their on-line support site and their telephone line  but they wo n't answer my emails and their telephone line is always busy" 
D,player[+],"for the most part this is a good dvd player" 
D,dvd[-] picture[-] play[-],"but about 25 % of dvd 's i 've played on ithave a problem  when watching a movie the picture will freeze  but the dvd still plays  and eventualy the picture kicks back in after skipping a few moments" 
D,product[-][u],"we have had this product for over a month and yesterday it stopped working" 
D,picture[-] sound[-],"there was neither picture nor sound" 
D,product[+],"we are overall pleased with product" 
D,manual[-],"i would have rated it five stars but for the poor manual" 
D,picture[-],"it worked from 12-6 to 1- at which time the picture failed completely ( see other negative reviews-my unit was n't the only one this happened to" ) 
D,support[-],"i tried calling the support number for a week  several times a day  and always got a busy signal" 
D,support[-],"neither message was answered ( they ask for 24 hours before replying - i 've been waiting 27 days" ) 
D,dvd[-] read[-] no disc[-],"it only read the dvds 10 % of the time  otherwise i would get a no disc screen" 
D,progressive scan player[+]price[+],"progressive scan player for a relatively low price ( although the better known manufacturers like toshiba  pioneer  and panasonic are now offering lower-priced progressive scan players as well )" 
D,dvd[+]sound[+],"seems to read most dvds fine  and reads quietly ( i had a pioneer player that had fairly loud disc spin noise )" 
D,read[+] svcd[+] vbr mp3 cd[+],"also  i have not had trouble reading svcds that i created and vbr mp3 cds ( my old apex ad-200 had trouble with these )" 
D,output[+],"output through component connections looks very good  on my non-hd tv" 
D,disc[-] recognize[-],"i 've had this player for several months and it reads most discs  but it would not recognize several discs that were clean and read on other players ( from friends season 2 )" 
D,no disc[-],"it would just spin up and stop  and display " no disc "" 
D,remote[-],"my other gripe is the incredibly crappy remote  which is worse than other  cheaper apex units" 
D,button[-],"you have to press the buttons hard and frequently i end up pressing enter when i meant to scroll" 
D,s-video[-],"also  for some reason the picture looks washed out on s-video  with lots of color bleeding  compared to a component connection ( should not be much of a perceptible difference on a 27 " tv ). 
D,player[+][p],"i checked out the amazon reviews and i 'm pleased to say mine worked  works  fine right out of the box" 
D,auto fit[+],"i like the auto fit feature = you can stretch widescreen dvd 's to normal" 
D,look[+][u],"looks ok - very shiny chrome and mirrors" 
D,remote[-],"and the remote is cheap and cheasy - not sure how long it 'll last  but for 50 bucks what the heck ! 
D,play[+][p],"this thing plays everything i feed it" 
D,format[+][u],"when i 1st tried it i found that it had no problem playing the more expensive dvd - r media disc 's that other players would play but to my surprise was able to play cheep media that i had burned that i could n't get to work before in anything but the dvd burner itself that i had made the disc with" 
D,use[+] size[+]look[+],"easy to use  small form factor  and looks good to boot" 
D,player[-][p],"after about an hour it starts skipping like the dvd 's are dirty" 
D,no disc[-],"i have ice age and it keeps telling me no disc" 
